0,baboon,large terrestrial monkeys having doglike muzzles
1,bat,nocturnal mouselike mammal with forelimbs modified to form membranous wings and anatomical adaptations for echolocation by which they navigate
2,bear,massive plantigrade carnivorous or omnivorous mammals with long shaggy coats and strong claws
3,beaver,large semiaquatic rodent with webbed hind feet and a broad flat tail; construct complex dams and underwater lodges
4,bobcat,small lynx of North America
5,camel,cud-chewing mammal used as a draft or saddle animal in desert regions
6,caribou,Arctic deer with large antlers in both sexes; called `reindeer' in Eurasia and `caribou' in North America
7,cat,feline mammal usually having thick soft fur and no ability to roar: domestic cats; wildcats
8,cheetah,long-legged spotted cat of Africa and southwestern Asia having nonretractile claws; the swiftest mammal; can be trained to run down game
9,chimpanzee,intelligent somewhat arboreal ape of equatorial African forests
10,chipmunk,a burrowing ground squirrel of western America and Asia; has cheek pouches and a light and dark stripe running down the body
11,coati,omnivorous mammal of Central America and South America
12,cougar,large American feline resembling a lion
13,coyote,small wolf native to western North America
14,dingo,wolflike yellowish-brown wild dog of Australia
15,dog,a member of the genus Canis (probably descended from the common wolf) that has been domesticated by man since prehistoric times; occurs in many breeds
16,dolphin,any of various small toothed whales with a beaklike snout; larger than porpoises
17,echidna,a burrowing monotreme mammal covered with spines and having a long snout and claws for hunting ants and termites; native to New Guinea
18,elephant,five-toed pachyderm
19,elk,large northern deer with enormous flattened antlers in the male; called `elk' in Europe and `moose' in North America
20,fox,alert carnivorous mammal with pointed muzzle and ears and a bushy tail; most are predators that do not hunt in packs
21,gazelle,small swift graceful antelope of Africa and Asia having lustrous eyes
22,gibbon,smallest and most perfectly anthropoid arboreal ape having long arms and no tail; of southern Asia and East Indies
23,giraffe,tallest living quadruped; having a spotted coat and small horns and very long neck and legs; of savannahs of tropical Africa
24,goat,any of numerous agile ruminants related to sheep but having a beard and straight horns
25,gorilla,largest anthropoid ape; terrestrial and vegetarian; of forests of central west Africa
26,grizzly,powerful brownish-yellow bear of the uplands of western North America
27,groundhog,reddish brown North American marmot
28,hare,swift timid long-eared mammal larger than a rabbit having a divided upper lip and long hind legs; young born furred and with open eyes
29,hippopotamus,massive thick-skinned herbivorous animal living in or around rivers of tropical Africa
30,horse,solid-hoofed herbivorous quadruped domesticated since prehistoric times
31,hyena,doglike nocturnal mammal of Africa and southern Asia that feeds chiefly on carrion
32,impala,African antelope with ridged curved horns; moves with enormous leaps
33,jaguar,a large spotted feline of tropical America similar to the leopard; in some classifications considered a member of the genus Felis
34,kangaroo,any of several herbivorous leaping marsupials of Australia and New Guinea having large powerful hind legs and a long thick tail
35,koala,sluggish tailless Australian arboreal marsupial with grey furry ears and coat; feeds on eucalyptus leaves and bark
36,kob,an orange-brown antelope of southeast Africa
37,lemur,large-eyed arboreal prosimian having foxy faces and long furry tails
38,leopard,large feline of African and Asian forests usually having a tawny coat with black spots
39,lion,large gregarious predatory feline of Africa and India having a tawny coat with a shaggy mane in the male
40,llama,wild or domesticated South American cud-chewing animal related to camels but smaller and lacking a hump
41,lynx,short-tailed wildcats with usually tufted ears; valued for their fur
42,manatee,sirenian mammal of tropical coastal waters of America; the flat tail is rounded
43,mandrill,baboon of west Africa with a bright red and blue muzzle and blue hindquarters
44,meerkat,a mongoose-like viverrine of South Africa having a face like a lemur and only four toes
45,mongoose,agile grizzled Old World viverrine; preys on snakes and rodents
46,monkey,any of various long-tailed primates (excluding the prosimians)
47,mouse,any of numerous small rodents typically resembling diminutive rats having pointed snouts and small ears on elongated bodies with slender usually hairless tails
48,ocelot,nocturnal wildcat of Central America and South America having a dark-spotted buff-brown coat
49,orangutan,large long-armed ape of Borneo and Sumatra having arboreal habits
50,otter,freshwater carnivorous mammal having webbed and clawed feet and dark brown fur
51,porcupine,relatively large rodents with sharp erectile bristles mingled with the fur
52,pronghorn,fleet antelope-like ruminant of western North American plains with small branched horns
53,rabbit,any of various burrowing animals of the family Leporidae having long ears and short tails; some domesticated and raised for pets or food
54,raccoon,an omnivorous nocturnal mammal native to North America and Central America
55,rat,any of various long-tailed rodents similar to but larger than a mouse
56,rhinoceros,massive powerful herbivorous odd-toed ungulate of southeast Asia and Africa having very thick skin and one or two horns on the snout
57,sheep,woolly usually horned ruminant mammal related to the goat
58,sloth,any of several slow-moving arboreal mammals of South America and Central America; they hang from branches back downward and feed on leaves and fruits
59,squirrel,a kind of arboreal rodent having a long bushy tail
60,tamarin,small South American marmoset with silky fur and long nonprehensile tail
61,tapir,large inoffensive chiefly nocturnal ungulate of tropical America and southeast Asia having a heavy body and fleshy snout
62,tiger,large feline of forests in most of Asia having a tawny coat with black stripes; endangered
63,wallaby,any of various small or medium-sized kangaroos; often brightly colored
64,walrus,either of two large northern marine mammals having ivory tusks and tough hide over thick blubber
65,warthog,African wild swine with warty protuberances on the face and large protruding tusks
66,whale,any of the larger cetacean mammals having a streamlined body and breathing through a blowhole on the head
67,wolf,any of various predatory carnivorous canine mammals of North America and Eurasia that usually hunt in packs
68,wombat,burrowing herbivorous Australian marsupials about the size of a badger
69,zebra,any of several fleet black-and-white striped African equines
